classa,classb,wins
Hunter,Hunter,10
Druid,Warrior,17
Warrior,Druid,17
Mage,Hunter,7
Hunter,Mage,7
Warrior,Hunter,4
Hunter,Warrior,4
Warlock,Druid,5
Druid,Warlock,5
Rogue,Warrior,3
Warrior,Rogue,3
Druid,Druid,20
Druid,Rogue,7
Rogue,Druid,7
Rogue,Hunter,3
Hunter,Rogue,3
Warrior,Warrior,14
Shaman,Mage,9
Mage,Shaman,9
Hunter,Druid,9
Druid,Hunter,9
Mage,Druid,12
Druid,Mage,12
Rogue,Warlock,4
Warlock,Rogue,4
Rogue,Rogue,4
Warrior,Warlock,9
Warlock,Warrior,9
Mage,Warrior,8
Warrior,Mage,8
Shaman,Hunter,6
Hunter,Shaman,6
Warlock,Hunter,3
Hunter,Warlock,3
Shaman,Druid,6
Druid,Shaman,6
Warrior,Paladin,2
Paladin,Warrior,2
Druid,Priest,2
Priest,Druid,2
Warlock,Priest,1
Priest,Warlock,1
Warrior,Priest,1
Priest,Warrior,1
Priest,Mage,1
Mage,Priest,1
Paladin,Mage,1
Mage,Paladin,1
Shaman,Shaman,2
Paladin,Druid,1
Druid,Paladin,1
Warrior,Shaman,4
Shaman,Warrior,4
Mage,Warlock,4
Warlock,Mage,4
Mage,Mage,6
Rogue,Mage,1
Mage,Rogue,1
Shaman,Paladin,1
Paladin,Shaman,1
